timestep,episode,reward,length,mean_reward_10ep
7761,685,1.666,3,6.902
7777,686,11.346,16,6.908
7788,687,9.346,11,6.619
7814,688,21.642,26,8.617
7817,689,1.849,3,8.613
7820,690,1.666,3,8.32
7842,691,16.714,22,8.904
7849,692,5.678,7,7.934
7851,693,1.067,2,7.575
7866,694,12.579,15,8.355
7880,695,10.254,14,9.214
7893,696,8.999,13,8.979
7900,697,5.497,7,8.594
7903,698,1.913,3,6.622
7907,699,2.846,4,6.721
7920,700,11.111,13,7.666
7925,701,3.433,5,6.338
7940,702,10.999,15,6.87
7947,703,4.765,7,7.239
7977,704,24.449,30,8.426
8000,705,17.262,23,9.127
8008,706,5.598,8,8.787
8020,707,8.431,12,9.081
8028,708,5.9,8,9.479
8031,709,1.913,3,9.386
8035,710,2.466,4,8.522
8043,711,6.611,8,8.84
8065,712,18.11,22,9.551
8069,713,2.831,4,9.357
8073,714,2.564,4,7.169
8087,715,9.466,14,6.389
8091,716,2.366,4,6.066
8094,717,2.085,3,5.431
8100,718,3.852,6,5.227
8118,719,12.811,18,6.316
8121,720,2.047,3,6.274
8144,721,17.131,23,7.326
8151,722,4.882,7,6.003
8157,723,4.115,6,6.132
8171,724,11.612,14,7.037
8179,725,7.046,8,6.795
8187,726,6.064,8,7.164
8201,727,10.319,14,7.988
8205,728,2.918,4,7.894
8218,729,9.565,13,7.57
8229,730,8.179,11,8.183
8236,731,5.367,7,7.007
8266,732,22.561,30,8.775
8273,733,4.853,7,8.848
8279,734,4.764,6,8.164
8287,735,6.412,8,8.1
8295,736,4.787,8,7.973
8316,737,15.915,21,8.532
8331,738,11.545,15,9.395
8335,739,2.416,4,8.68
8340,740,3.985,5,8.26
8343,741,1.916,3,7.915
8347,742,2.78,4,5.937
8356,743,6.631,9,6.115
8366,744,7.246,10,6.363
8371,745,3.613,5,6.083
8379,746,5.95,8,6.2
8386,747,5.018,7,5.11
8393,748,5.364,7,4.492
8398,749,3.464,5,4.597
8414,750,13.469,16,5.545
8436,751,15.766,22,6.93
8456,752,15.798,20,8.232
8480,753,17.798,24,9.348
8502,754,18.611,22,10.485
8510,755,5.552,8,10.679
8521,756,7.469,11,10.831
8527,757,4.232,6,10.752
8536,758,7.264,9,10.942
8556,759,16.179,20,12.214
8564,760,6.045,8,11.471
8587,761,17.049,23,11.6
8591,762,2.284,4,10.248
8596,763,3.517,5,8.82
8603,764,5.381,7,7.497
8609,765,3.799,6,7.322
8615,766,4.846,6,7.06
8619,767,2.565,4,6.893
8649,768,21.365,30,8.303
8667,769,13.917,18,8.077
8672,770,3.432,5,7.816
8693,771,15.18,21,7.629
8709,772,13.596,16,8.76
8717,773,6.33,8,9.041
8727,774,6.619,10,9.165
8750,775,16.897,23,10.475
8755,776,3.366,5,10.327
8769,777,10.745,14,11.145
8772,778,1.732,3,9.181
8784,779,9.128,12,8.703
8797,780,11.449,13,9.504
8809,781,8.066,12,8.793
8817,782,6.1,8,8.043
8832,783,11.43,15,8.553
8862,784,22.147,30,10.106
8874,785,8.347,12,9.251
8886,786,10.245,12,9.939
8916,787,22.717,30,11.136
8920,788,2.698,4,11.233
8925,789,4.013,5,10.721
8931,790,4.281,6,10.004
8937,791,4.62,6,9.66
8967,792,22.71,30,11.321
8974,793,5.232,7,10.701
8990,794,12.318,16,9.718
8997,795,5.445,7,9.428
9020,796,18.375,23,10.241
9034,797,12.881,14,9.257
9041,798,5.311,7,9.519
9045,799,2.499,4,9.367
9056,800,9.912,11,9.93
9059,801,1.831,3,9.651
9072,802,10.185,13,8.399
9076,803,2.813,4,8.157
9093,804,12.512,17,8.176
9123,805,21.851,30,9.817
9145,806,17.019,22,9.681
9160,807,11.711,15,9.564
9167,808,5.379,7,9.571
9178,809,8.877,11,10.209
9187,810,7.032,9,9.921
9190,811,1.953,3,9.933
9204,812,10.12,14,9.927
9209,813,3.612,5,10.007
9228,814,17.244,19,10.48
9234,815,4.365,6,8.731
9238,816,2.599,4,7.289
9268,817,22.617,30,8.38
9271,818,1.88,3,8.03
9279,819,5.2,8,7.662
9309,820,23.213,30,9.28
9319,821,7.765,10,9.862
9328,822,7.112,9,9.561
9331,823,1.851,3,9.385
9338,824,5.712,7,8.232
9368,825,23.631,30,10.158
9375,826,5.647,7,10.463
9394,827,14.113,19,9.612
9412,828,13.634,18,10.788
9417,829,3.053,5,10.573
9423,830,4.413,6,8.693
9431,831,5.202,8,8.437
9438,832,5.719,7,8.298
9447,833,6.646,9,8.777
9455,834,6.679,8,8.874
9472,835,11.884,17,7.699
9478,836,4.131,6,7.548
9483,837,4.113,5,6.547
9492,838,7.08,9,5.892
9502,839,7.831,10,6.37
9508,840,4.43,6,6.372
9525,841,13.902,17,7.241
9536,842,9.51,11,7.621
9552,843,11.978,16,8.154
9575,844,16.664,23,9.152
9581,845,4.379,6,8.402
9585,846,2.979,4,8.287
9595,847,7.398,10,8.615
9600,848,3.745,5,8.282
9609,849,6.451,9,8.143
9617,850,5.298,8,8.23
9630,851,11.595,13,8.0
9650,852,14.132,20,8.462
9655,853,3.581,5,7.622
9663,854,6.646,8,6.62
9668,855,3.751,5,6.558
9680,856,10.717,12,7.331
9689,857,7.113,9,7.303
9715,858,20.313,26,8.96
9721,859,4.033,6,8.718
9730,860,6.402,9,8.828
9734,861,2.352,4,7.904
9754,862,15.243,20,8.015
9770,863,12.779,16,8.935
9773,864,1.782,3,8.448
9778,865,3.515,5,8.425
9808,866,22.297,30,9.583
9817,867,7.745,9,9.646
9847,868,22.765,30,9.891
9853,869,4.584,6,9.946
9863,870,7.164,10,10.023
9887,871,19.478,24,11.735
9894,872,5.219,7,10.733
9924,873,23.616,30,11.817
9937,874,10.343,13,12.673
9944,875,5.136,7,12.835
9963,876,13.532,19,11.958
9971,877,6.345,8,11.818
9976,878,3.499,5,9.892
9979,879,1.88,3,9.621
9996,880,14.677,17,10.373
10008,881,10.212,12,9.446
10025,882,12.385,17,10.163
10032,883,5.281,7,8.329
10057,884,18.8,25,9.175
10062,885,3.98,5,9.059
10070,886,5.487,8,8.255
10077,887,5.33,7,8.153
10087,888,7.063,10,8.509
10100,889,9.945,13,9.316
10108,890,6.746,8,8.523
10138,891,21.218,30,9.623
10141,892,1.947,3,8.58
10166,893,18.73,25,9.925
10185,894,14.575,19,9.502
10194,895,6.597,9,9.764
10200,896,4.78,6,9.693
10206,897,4.365,6,9.597
10236,898,22.685,30,11.159
10245,899,6.4,9,10.804
10255,900,6.719,10,10.802
10273,901,13.713,18,10.051
10293,902,15.384,20,11.395
10316,903,17.144,23,11.236
10324,904,5.301,8,10.309
10334,905,7.568,10,10.406
10342,906,6.412,8,10.569
10349,907,5.446,7,10.677
10376,908,23.629,27,10.772
10380,909,2.433,4,10.375
10387,910,5.348,7,10.238
10399,911,7.654,12,9.632
10402,912,1.599,3,8.253
10410,913,6.397,8,7.179
10424,914,9.946,14,7.643
10454,915,23.999,30,9.286
10466,916,9.546,12,9.6
10475,917,7.747,9,9.83
10488,918,9.364,13,8.403
10512,919,20.311,24,10.191
10524,920,8.352,12,10.491
10534,921,8.5,10,10.576
10546,922,8.896,12,11.306
10568,923,18.177,22,12.484
10574,924,4.979,6,11.987
10590,925,13.565,16,10.944
10597,926,5.199,7,10.509
10609,927,9.462,12,10.681
10618,928,7.045,9,10.449
10626,929,7.012,8,9.119
10636,930,7.181,10,9.002
10665,931,21.085,29,10.26
